Deal ID,Product,Country,Client (Person),Client (Company),Bank Employee Contact,Start Date,End Date,Deal Type
1,Home Appliances,India,Elizabeth Oconnell,"Hunter, Rivera and Hardy",Julie Snyder,13-05-2023,11-08-2023,Public
2,Pharmaceuticals,Canada,Nicholas Taylor,Walls-Winters,Jacob Conner,18-03-2022,16-06-2022,Private
3,Casinos,Australia,James Roberts,Ellis LLC,Susan Gonzales,19-01-2022,19-04-2022,Private
4,Internet Service Providers,Ireland,Mark White,"Glass, Gonzales and Henderson",Vickie Sanders DVM,19-07-2022,17-10-2022,Private
5,Home Appliances,China,Carrie Dalton,Newton-Ruiz,Valerie Jacobson,01-09-2023,30-11-2023,Private
6,Electronics,Uruguay,Jesse Simmons,Carter-Brooks,Anthony Rosales,27-05-2022,25-08-2022,Private
7,Electricity Providers,United States,John Cunningham,Cobb LLC,Shelby Acosta,28-02-2022,29-05-2022,Private
8,Mobile Phone Operators,Canada,Steven West,Adams-Hall,Melissa Wood,10-03-2023,08-06-2023,Private
9,Telecom Equipment Manufacturers,Germany,Mark White,"Glass, Gonzales and Henderson",Joshua Strickland,01-04-2023,30-06-2023,Public
10,Video Game Companies,Canada,Debbie Cunningham DVM,"Mitchell, Walker and Burke",Melinda Hogan,21-12-2022,21-03-2023,Private
11,Shipping Companies,Mexico,Tiffany Hanson DDS,"Murphy, Price and Berry",Dr. Nicholas James,23-03-2022,21-06-2022,Public
12,Chemicals,China,Michael Baker,"Dean, Skinner and Lee",Jorge Bailey,10-11-2022,08-02-2023,Private
13,Schools,United Kingdom,Kara Martinez,"Stone, Martinez and Taylor",Jason Garcia,04-08-2022,02-11-2022,Public
14,REITS,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Theresa Francis,22-02-2023,23-05-2023,Private
15,Electricity Providers,Canada,Jonathan Johnson,Cobb LLC,Laura Robinson,03-10-2022,01-01-2023,Public
16,Chemicals,Japan,Michael Baker,"Dean, Skinner and Lee",Linda James,20-02-2022,21-05-2022,Private
17,Mobile Phone Operators,United Kingdom,Mark White,"Glass, Gonzales and Henderson",Sean Cummings,03-04-2023,02-07-2023,Public
18,Pet Supplies,Hungary,Karen Valdez,Torres-Hobbs,Jeremiah Mason,13-07-2023,11-10-2023,Public
19,Trucking Companies,Costa Rica,William Howard,Roberts Ltd,Daniel Hill,08-02-2022,09-05-2022,Private
20,Mining Equipment,United States,Cristian Garcia,Chang PLC,Edward Mayo,09-06-2023,07-09-2023,Public
21,Electronics,Canada,Teresa Morton,Moore LLC,Andrea Gallagher,16-09-2023,15-12-2023,Private
22,Pharmaceuticals,Germany,Roger Day,"Guerrero, Flores and Carter",Brandon Dillon,27-12-2022,27-03-2023,Public
23,Cable Companies,United Arab Emirates,Melissa Deleon,Campbell-Morse,James Hunter,01-10-2023,30-12-2023,Private
24,Health Products,Hungary,Karen Valdez,Torres-Hobbs,Denise Bailey,03-07-2022,01-10-2022,Private
25,Music Labels,Cameroon,Charles Carey,Hill LLC,Amber Williamson,16-05-2023,14-08-2023,Private
26,Insurance,Uruguay,Robert Paul,Williams Inc,Mark Oneill,25-04-2023,24-07-2023,Private
27,Pharmaceuticals,Canada,Stacey Bowen,Walls-Winters,Donald Martinez,08-10-2022,06-01-2023,Public
28,Oil & Gas,Canada,Carolyn Page,"Clarke, Frank and Hayes",David Ramos,12-05-2023,10-08-2023,Private
29,Wealth Management,Costa Rica,Timothy Butler,"Johnson, Wright and Hayes",Tracy Kelly,31-08-2022,29-11-2022,Private
30,Trucking Companies,China,Luis Andrade,Morgan-Rivera,Douglas Kramer,02-05-2022,31-07-2022,Private
31,Renewable Energy,Canada,James Brown,"Clarke, Frank and Hayes",Darin Richards,22-11-2022,20-02-2023,Private
32,Pharmaceuticals,India,Shannon Walker,"Cowan, Ward and Mckenzie",Jennifer Palmer,04-12-2022,04-03-2023,Private
33,Clothing,United States,Tracy Reese,Morgan Inc,Michael Rivera,10-03-2022,08-06-2022,Public
34,Cable Companies,Canada,Steven West,Adams-Hall,Cheryl Tucker,30-05-2023,28-08-2023,Public
35,Video Game Companies,United Kingdom,Jessica Ryan,Hill LLC,Rebecca Ferguson,02-06-2023,31-08-2023,Public
36,Home Appliances,Malaysia,Todd Davis,Daniel Ltd,Richard Roberts,29-03-2022,27-06-2022,Private
37,Television Networks,United States,Adam Diaz,"Mitchell, Walker and Burke",Jenna Morris,04-10-2022,02-01-2023,Private
38,Investment Management,Jamaica,Kyle Wright,"Johnson, Wright and Hayes",Jennifer Castro,17-06-2023,15-09-2023,Private
39,Chemicals,Australia,Austin Robinson,"Dean, Skinner and Lee",Michael Roy,04-05-2022,02-08-2022,Public
40,Precious Metals,Cameroon,Emily Jackson,Marquez Inc,Amanda Gonzalez,07-03-2022,05-06-2022,Private
41,Pharmaceuticals,China,Jason Waller,"Cowan, Ward and Mckenzie",Sean Gomez,15-01-2022,15-04-2022,Public
42,Renewable Energy,United States,Carolyn Page,"Clarke, Frank and Hayes",Michael Brown,21-09-2022,20-12-2022,Public
43,Home Appliances,Singapore,Carrie Dalton,Newton-Ruiz,Shelby Perez,30-01-2022,30-04-2022,Public
